sample_name,read_1,read_2,accession_number,year,country,publication,purpose
ERR3332539,/data/slow/bdri/azuza/samples/ERR3332539_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332539_2.fastq.gz,ERR3332539,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332694,/data/slow/bdri/azuza/samples/ERR3332694_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332694_2.fastq.gz,ERR3332694,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332677,/data/slow/bdri/azuza/samples/ERR3332677_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332677_2.fastq.gz,ERR3332677,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332744,/data/slow/bdri/azuza/samples/ERR3332744_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332744_2.fastq.gz,ERR3332744,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909611,/data/slow/bdri/azuza/samples/ERR2909611_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909611_2.fastq.gz,ERR2909611,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332755,/data/slow/bdri/azuza/samples/ERR3332755_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332755_2.fastq.gz,ERR3332755,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332641,/data/slow/bdri/azuza/samples/ERR3332641_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332641_2.fastq.gz,ERR3332641,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332573,/data/slow/bdri/azuza/samples/ERR3332573_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332573_2.fastq.gz,ERR3332573,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332726,/data/slow/bdri/azuza/samples/ERR3332726_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332726_2.fastq.gz,ERR3332726,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909532,/data/slow/bdri/azuza/samples/ERR2909532_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909532_2.fastq.gz,ERR2909532,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909508,/data/slow/bdri/azuza/samples/ERR2909508_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909508_2.fastq.gz,ERR2909508,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909540,/data/slow/bdri/azuza/samples/ERR2909540_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909540_2.fastq.gz,ERR2909540,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2525481,/data/slow/bdri/azuza/samples/ERR2525481_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2525481_2.fastq.gz,ERR2525481,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909503,/data/slow/bdri/azuza/samples/ERR2909503_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909503_2.fastq.gz,ERR2909503,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332779,/data/slow/bdri/azuza/samples/ERR3332779_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332779_2.fastq.gz,ERR3332779,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332576,/data/slow/bdri/azuza/samples/ERR3332576_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332576_2.fastq.gz,ERR3332576,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332778,/data/slow/bdri/azuza/samples/ERR3332778_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332778_2.fastq.gz,ERR3332778,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332548,/data/slow/bdri/azuza/samples/ERR3332548_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332548_2.fastq.gz,ERR3332548,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909505,/data/slow/bdri/azuza/samples/ERR2909505_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909505_2.fastq.gz,ERR2909505,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332676,/data/slow/bdri/azuza/samples/ERR3332676_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332676_2.fastq.gz,ERR3332676,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909495,/data/slow/bdri/azuza/samples/ERR2909495_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909495_2.fastq.gz,ERR2909495,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909474,/data/slow/bdri/azuza/samples/ERR2909474_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909474_2.fastq.gz,ERR2909474,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909487,/data/slow/bdri/azuza/samples/ERR2909487_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909487_2.fastq.gz,ERR2909487,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2525515,/data/slow/bdri/azuza/samples/ERR2525515_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2525515_2.fastq.gz,ERR2525515,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332777,/data/slow/bdri/azuza/samples/ERR3332777_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332777_2.fastq.gz,ERR3332777,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2525467,/data/slow/bdri/azuza/samples/ERR2525467_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2525467_2.fastq.gz,ERR2525467,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909483,/data/slow/bdri/azuza/samples/ERR2909483_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909483_2.fastq.gz,ERR2909483,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332575,/data/slow/bdri/azuza/samples/ERR3332575_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332575_2.fastq.gz,ERR3332575,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909477,/data/slow/bdri/azuza/samples/ERR2909477_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909477_2.fastq.gz,ERR2909477,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR4921815,/data/slow/bdri/azuza/samples/ERR4921815_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR4921815_2.fastq.gz,ERR4921815,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332551,/data/slow/bdri/azuza/samples/ERR3332551_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332551_2.fastq.gz,ERR3332551,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR984774,/data/slow/bdri/azuza/samples/ERR984774_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984774_2.fastq.gz,ERR984774,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR338131,/data/slow/bdri/azuza/samples/ERR338131_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338131_2.fastq.gz,ERR338131,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338132,/data/slow/bdri/azuza/samples/ERR338132_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338132_2.fastq.gz,ERR338132,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338133,/data/slow/bdri/azuza/samples/ERR338133_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338133_2.fastq.gz,ERR338133,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338136,/data/slow/bdri/azuza/samples/ERR338136_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338136_2.fastq.gz,ERR338136,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338137,/data/slow/bdri/azuza/samples/ERR338137_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338137_2.fastq.gz,ERR338137,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338139,/data/slow/bdri/azuza/samples/ERR338139_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338139_2.fastq.gz,ERR338139,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338140,/data/slow/bdri/azuza/samples/ERR338140_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338140_2.fastq.gz,ERR338140,2009,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338141,/data/slow/bdri/azuza/samples/ERR338141_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338141_2.fastq.gz,ERR338141,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338143,/data/slow/bdri/azuza/samples/ERR338143_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338143_2.fastq.gz,ERR338143,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338145,/data/slow/bdri/azuza/samples/ERR338145_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338145_2.fastq.gz,ERR338145,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338147,/data/slow/bdri/azuza/samples/ERR338147_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338147_2.fastq.gz,ERR338147,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338148,/data/slow/bdri/azuza/samples/ERR338148_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338148_2.fastq.gz,ERR338148,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338151,/data/slow/bdri/azuza/samples/ERR338151_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338151_2.fastq.gz,ERR338151,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338152,/data/slow/bdri/azuza/samples/ERR338152_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338152_2.fastq.gz,ERR338152,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338157,/data/slow/bdri/azuza/samples/ERR338157_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338157_2.fastq.gz,ERR338157,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338159,/data/slow/bdri/azuza/samples/ERR338159_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338159_2.fastq.gz,ERR338159,2009,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338160,/data/slow/bdri/azuza/samples/ERR338160_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338160_2.fastq.gz,ERR338160,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338163,/data/slow/bdri/azuza/samples/ERR338163_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338163_2.fastq.gz,ERR338163,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR338164,/data/slow/bdri/azuza/samples/ERR338164_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338164_2.fastq.gz,ERR338164,2007,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212564,/data/slow/bdri/azuza/samples/ERR212564_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212564_2.fastq.gz,ERR212564,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212636,/data/slow/bdri/azuza/samples/ERR212636_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212636_2.fastq.gz,ERR212636,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212638,/data/slow/bdri/azuza/samples/ERR212638_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212638_2.fastq.gz,ERR212638,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212639,/data/slow/bdri/azuza/samples/ERR212639_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212639_2.fastq.gz,ERR212639,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212640,/data/slow/bdri/azuza/samples/ERR212640_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212640_2.fastq.gz,ERR212640,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212643,/data/slow/bdri/azuza/samples/ERR212643_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212643_2.fastq.gz,ERR212643,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212646,/data/slow/bdri/azuza/samples/ERR212646_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212646_2.fastq.gz,ERR212646,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212648,/data/slow/bdri/azuza/samples/ERR212648_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212648_2.fastq.gz,ERR212648,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212651,/data/slow/bdri/azuza/samples/ERR212651_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212651_2.fastq.gz,ERR212651,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212652,/data/slow/bdri/azuza/samples/ERR212652_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212652_2.fastq.gz,ERR212652,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212653,/data/slow/bdri/azuza/samples/ERR212653_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212653_2.fastq.gz,ERR212653,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212654,/data/slow/bdri/azuza/samples/ERR212654_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212654_2.fastq.gz,ERR212654,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212655,/data/slow/bdri/azuza/samples/ERR212655_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212655_2.fastq.gz,ERR212655,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212657,/data/slow/bdri/azuza/samples/ERR212657_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212657_2.fastq.gz,ERR212657,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212659,/data/slow/bdri/azuza/samples/ERR212659_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212659_2.fastq.gz,ERR212659,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212660,/data/slow/bdri/azuza/samples/ERR212660_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212660_2.fastq.gz,ERR212660,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212661,/data/slow/bdri/azuza/samples/ERR212661_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212661_2.fastq.gz,ERR212661,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212662,/data/slow/bdri/azuza/samples/ERR212662_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212662_2.fastq.gz,ERR212662,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212664,/data/slow/bdri/azuza/samples/ERR212664_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212664_2.fastq.gz,ERR212664,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212665,/data/slow/bdri/azuza/samples/ERR212665_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212665_2.fastq.gz,ERR212665,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212666,/data/slow/bdri/azuza/samples/ERR212666_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212666_2.fastq.gz,ERR212666,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR212667,/data/slow/bdri/azuza/samples/ERR212667_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR212667_2.fastq.gz,ERR212667,2008,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR217406,/data/slow/bdri/azuza/samples/ERR217406_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR217406_2.fastq.gz,ERR217406,2004,Kenya,Wong et al. 2016,Global H58 Phylogeny
ERR984748,/data/slow/bdri/azuza/samples/ERR984748_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984748_2.fastq.gz,ERR984748,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984761,/data/slow/bdri/azuza/samples/ERR984761_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984761_2.fastq.gz,ERR984761,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984767,/data/slow/bdri/azuza/samples/ERR984767_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984767_2.fastq.gz,ERR984767,2013,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984768,/data/slow/bdri/azuza/samples/ERR984768_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984768_2.fastq.gz,ERR984768,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984781,/data/slow/bdri/azuza/samples/ERR984781_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984781_2.fastq.gz,ERR984781,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984788,/data/slow/bdri/azuza/samples/ERR984788_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984788_2.fastq.gz,ERR984788,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984790,/data/slow/bdri/azuza/samples/ERR984790_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984790_2.fastq.gz,ERR984790,2013,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984826,/data/slow/bdri/azuza/samples/ERR984826_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984826_2.fastq.gz,ERR984826,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984828,/data/slow/bdri/azuza/samples/ERR984828_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984828_2.fastq.gz,ERR984828,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984835,/data/slow/bdri/azuza/samples/ERR984835_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984835_2.fastq.gz,ERR984835,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984836,/data/slow/bdri/azuza/samples/ERR984836_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984836_2.fastq.gz,ERR984836,2013,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984842,/data/slow/bdri/azuza/samples/ERR984842_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984842_2.fastq.gz,ERR984842,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984843,/data/slow/bdri/azuza/samples/ERR984843_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984843_2.fastq.gz,ERR984843,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984844,/data/slow/bdri/azuza/samples/ERR984844_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984844_2.fastq.gz,ERR984844,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984850,/data/slow/bdri/azuza/samples/ERR984850_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984850_2.fastq.gz,ERR984850,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984851,/data/slow/bdri/azuza/samples/ERR984851_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984851_2.fastq.gz,ERR984851,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984852,/data/slow/bdri/azuza/samples/ERR984852_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984852_2.fastq.gz,ERR984852,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984859,/data/slow/bdri/azuza/samples/ERR984859_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984859_2.fastq.gz,ERR984859,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984866,/data/slow/bdri/azuza/samples/ERR984866_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984866_2.fastq.gz,ERR984866,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984867,/data/slow/bdri/azuza/samples/ERR984867_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984867_2.fastq.gz,ERR984867,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984868,/data/slow/bdri/azuza/samples/ERR984868_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984868_2.fastq.gz,ERR984868,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984875,/data/slow/bdri/azuza/samples/ERR984875_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984875_2.fastq.gz,ERR984875,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984876,/data/slow/bdri/azuza/samples/ERR984876_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984876_2.fastq.gz,ERR984876,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984885,/data/slow/bdri/azuza/samples/ERR984885_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984885_2.fastq.gz,ERR984885,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984917,/data/slow/bdri/azuza/samples/ERR984917_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984917_2.fastq.gz,ERR984917,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010016,/data/slow/bdri/azuza/samples/ERR1010016_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010016_2.fastq.gz,ERR1010016,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010018,/data/slow/bdri/azuza/samples/ERR1010018_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010018_2.fastq.gz,ERR1010018,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010021,/data/slow/bdri/azuza/samples/ERR1010021_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010021_2.fastq.gz,ERR1010021,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010089,/data/slow/bdri/azuza/samples/ERR1010089_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010089_2.fastq.gz,ERR1010089,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010098,/data/slow/bdri/azuza/samples/ERR1010098_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010098_2.fastq.gz,ERR1010098,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010104,/data/slow/bdri/azuza/samples/ERR1010104_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010104_2.fastq.gz,ERR1010104,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010105,/data/slow/bdri/azuza/samples/ERR1010105_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010105_2.fastq.gz,ERR1010105,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
